,Summary,Original
101,"The speaker draws parallels between the historical Gold Rush and the technological boom of the Internet, emphasizing the similarities in hype, excitement, and mass migration towards opportunities. He further compares the evolution of electricity and home appliances to the growth of the Internet, highlighting the initial primitiveness and challenges faced in both revolutions. Ultimately, he expresses optimism about the future of technology, believing that innovation will continue to create new opportunities and overcome current limitations, likening the current stage of the Internet to the early days of electric appliances.",The dot-com boom and bust is often compared to the Gold Rush. But Amazon.com founder Jeff Bezos says it's more like the early days of the electric industry.
102,"The speaker humorously recounts their experience of being a Black man in Aspen, Colorado, challenging stereotypes and societal expectations through clever lyrics. The song highlights the absurdity of racial assumptions and societal norms, while celebrating diversity and individuality. Despite facing misunderstandings and discrimination, the speaker embraces their identity and confidently declares that Black men ski in Aspen, elegantly defying societal expectations and embracing their unique experiences.",What happens when a black man visits Aspen? Singer/songwriter Stew and his band are about to let you know.
103,"The speaker discusses the importance of understanding technology trends for creating content in a technology magazine with a long lead-time. They introduce the concept of the ""grand unified theory of predicting the future,"" which outlines four stages in a technology's life cycle: critical price, critical mass, displacement, and commoditization. Using examples such as gene sequencing, generic drugs, Linux, hybrid cars, Voice Over IP, and the impact of free technologies like fiber optics on industries like music and telecommunications, they demonstrate how advancements in technology can reach inflection points that drive significant changes in society and the economy.","Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous."
104,"The speaker highlights the destructive impact of poorly designed American environments, referring to them as ""the national automobile slum"" and a misallocation of resources. He emphasizes the importance of creating meaningful, quality public spaces that define our culture and inform our civic life. He criticizes the current state of architecture, urban planning, and suburban living, urging for a shift towards more sustainable and community-oriented practices to prepare for the challenges of the future. Finally, he encourages individuals to reject the label of ""consumers"" and instead embrace the role of active citizens in building a better, more caring nation.","In James Howard Kunstler's view, public spaces should be inspired centers of civic life and the physical manifestation of the common good. Instead, he argues, what we have in America is a nation of places not worth caring about."
105,"The lyrics describe a journey from the Highlands to Newfoundland, a sense of sorrow and longing, and finding solace in a city where dreams shine brightly. The imagery of blue symbolizes sadness and tears, contrasting with the dazzling city lights. The song captures a feeling of displacement and nostalgia, with a haunting and emotional melody.","Violinist Natalie MacMaster and TED Musical Director Thomas Dolby play Dolby's original song ""Blue Is a River"" in this ethereal duet -- with a little dancing."
106,"Rachelle Garniez performs a bilingual rendition of ""La Vie en Rose"" with a mix of French and English lyrics, captivating the audience with her lovely voice. The performance is met with applause and appreciation from the crowd, showcasing her talent and charm. Garniez's rendition of the classic song evokes a sense of love and happiness, leaving a lasting impression on the audience. Dolby introduces her with enthusiasm, setting the stage for a delightful and enchanting performance.","Featuring the vocals and mischievous bell-playing of accordionist and singer Rachelle Garniez, the TED House Band -- led by Thomas Dolby on keyboard -- delivers this delightful rendition of the Edith Piaf standard ""La Vie en Rose."""
107,"Architect David Rockwell discusses the quick design and construction of a viewing platform at Ground Zero post-9/11 to help visitors pay respects at the site. The platform aimed to provide a dignified space for reflection and remembrance, using simple materials to create a temporary yet impactful structure. Rockwell emphasizes the importance of collaboration and dialogue in shaping the future of the site, suggesting a broader discussion on the city's urban planning and memorialization. The project, though not a traditional memorial, served as a civic infrastructure to facilitate meaningful conversations about the future use of Ground Zero.","In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11."
108,"Deborah Scranton shares her journey of embedding with the New Hampshire National Guard in Iraq to tell a soldier's story as it unfolded. She faced challenges in gaining soldiers' trust and capturing raw, intimate moments through cameras mounted on their vehicles. Scranton emphasizes the importance of having conversations about war and supporting soldiers beyond just words, urging for genuine care and action to bridge the disconnect between civilians and those serving in the military.","Filmmaker Deborah Scranton talks about and shows clips from her documentary The War Tapes, which puts cameras in the hands of soldiers fighting in Iraq."
109,"The speaker shared a humorous encounter with a Nigerian journalist mistaking him for James Bond, highlighting the importance of diverse narratives and storytelling beyond news reports. He emphasized the power of stories in shaping identities and cultures, urging a deeper understanding of African literature to avoid oversimplified views. Reflecting on his own experiences with privilege, activism, and imprisonment, he underscored the complexities of transformation, ethical questioning, and the need to challenge essentialist beliefs about Africa and identity. The talk concluded with a poignant poem about resilience and rebirth, emphasizing the transformative power of storytelling.","In this deeply personal talk, Nigerian writer Chris Abani says that ""what we know about how to be who we are"" comes from stories. He searches for the heart of Africa through its poems and narrative, including his own."
110,"Hans Rosling discusses the importance of accurate statistics and the power of animated graphics in changing mindsets about global development. He showcases visual representations of changes in fertility rates, life expectancy, economic growth, and carbon dioxide emissions over time. Rosling emphasizes the progress made in various regions, challenges traditional notions of ""developed"" versus ""developing"" countries, and highlights the significance of technology, education, infrastructure, and human rights in lifting people out of poverty. He concludes by demonstrating sword swallowing as a symbol of transcending perceived limitations and achieving positive change in the world.","Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty. He demos Dollar Street, comparing households of varying income levels worldwide. Then he does something really amazing."
111,"The speaker emphasizes the positive aspects of Africa, sharing personal experiences and investment opportunities on the continent. He highlights Africa's diverse potential, citing examples from various countries such as Nigeria, Egypt, and Tanzania. The presentation focuses on economic growth, stability, and the increasing interest of global investors in Africa, encouraging the audience to consider the continent's transformative possibilities and shedding light on its untapped opportunities.",South African investment banker Euvin Naidoo explains why investing in Africa can make great business sense.
112,"The speaker, a paleoanthropologist, discusses the significance of the discovery of Selam, a 3.3 million-year-old child skeleton found in Ethiopia, in understanding human evolution. Selam's skeleton provides insights into how ancient infants looked, walked upright, but also had adaptations for tree climbing, and exhibited characteristics of an extended childhood seen in humans. The discovery fills a gap in knowledge about our ancestors, as previous information was primarily based on adult fossils, and highlights the slow and progressive nature of evolution. The speaker emphasizes the importance of promoting a positive African attitude towards Africa to address its challenges and ensure a successful future for the continent.",Paleoanthropologist Zeresenay Alemseged looks for the roots of humanity in Ethiopia's badlands. Here he talks about finding the oldest skeleton of a humanoid child -- and how Africa holds the clues to our humanity.
113,"The speaker discusses the concept of memes, ideas that replicate and spread like viruses, influencing human behavior. He highlights how infectious ideas, like those of ideologies and religions, can hijack our brains and lead to behaviors that may not prioritize genetic fitness. The speaker emphasizes the importance of understanding and controlling the spread of both beneficial and harmful memes, drawing parallels between the spread of toxic ideas and germs that wiped out populations in history. He concludes by advocating for a morally neutral approach to studying memes and addressing their impact on society by fostering the spread of more benign variations.","Starting with the simple tale of an ant, philosopher Dan Dennett unleashes a devastating salvo of ideas, making a powerful case for the existence of memes -- concepts that are literally alive."
114,"The speaker highlights the divide between the Cheetah Generation, who are proactive in fighting corruption and promoting democracy in Africa, and the Hippo Generation, representing the stagnant ruling elites. He criticizes the ineffective use of aid in Africa, emphasizing the need to address issues like corruption and capital flight. Additionally, he advocates for investing in the informal and traditional sectors of the economy, leveraging indigenous institutions, such as community-based agriculture and traditional medicine, to drive development and empower local communities. Ultimately, he calls for mobilizing Africans in the Diaspora to invest in and bring about positive change in Africa.","Ghanaian economist George Ayittey unleashes a torrent of controlled anger toward corrupt leaders in Africa -- and calls on the ""Cheetah generation"" to take back the continent."
115,"The speaker emphasizes the progress Africa has made, with economic growth rates increasing and external debt decreasing. They stress the importance of building on this foundation to address challenges like youth unemployment and health issues. The speaker advocates for a more sophisticated debate on aid, highlighting the need for coordination between government, private sector, and international organizations to leverage aid effectively. They propose using aid to invest in infrastructure, support women entrepreneurs, and encourage private sector investment in Africa.","Ngozi Okonjo-Iweala, the former finance minister of Nigeria, sums up four days of intense discussion on aid versus trade on the closing day of TEDGlobal 2007, and shares a personal story explaining her own commitment to this cause."
116,"The speaker dedicates their performance to the women of South Africa who resisted during apartheid, particularly highlighting the role of their grandmother in supporting their activism. They reflect on the student protests of 1976 and the sacrifices made, emphasizing the importance of commemorating those who died. The speaker recalls their political awakening at a young age, joining the African National Congress youth organization. Their grandmother's courage in standing up to police harassment is a powerful moment that shaped their resolve.","South African singer-songwriter Vusi Mahlasela dedicates his song, ""Thula Mama,"" to all women -- and especially his grandmother."
117,"The speaker reflects on the Vimalakirti Sutra, emphasizing the interconnectedness of all life and the importance of compassion. They discuss how technology can lead to a mass awareness that forces individuals to become enlightened and empathetic towards others' suffering. Ultimately, they highlight the idea that true happiness comes from selflessness and helping others, leading to a broader perception of the world and a sense of fulfillment.","In our hyperlinked world, we can know anything, anytime. And this mass enlightenment, says Buddhist scholar Bob Thurman, is our first step toward Buddha nature."
118,"The speaker discusses the misconception that violence is increasing in modern times, presenting evidence that violence has actually been decreasing over millennia, centuries, decades, and years. Various explanations for this decline in violence are explored, including the impact of centralized states, an increase in the value of life due to technological advancements, the concept of nonzero-sum games, and the expansion of empathy and the ""circle of concern."" The decline of violence has significant implications and prompts the audience to consider not just why there is war, but also why there is peace, and what has been done right to achieve this trend.","Steven Pinker charts the decline of violence from Biblical times to the present, and argues that, though it may seem illogical and even obscene, given Iraq and Darfur, we are living in the most peaceful time in our species' existence."
119,"The speaker discusses the advancements in technology that have allowed for deep underground exploration, showcasing expeditions to natural abysses and chambers. They emphasize the importance of selecting competent and disciplined team members for such projects. The presentation then shifts to discussing the potential for private space exploration, highlighting the need for economical earth-to-space transport and the concept of establishing a gas station on orbit. The speaker proposes a bold plan to mine the moon for resources, aiming to jump-start a new industry and open space to general exploration within seven years.","Bill Stone, a maverick cave explorer who has plumbed Earth's deepest abysses, discusses his efforts to mine lunar ice for space fuel and to build an autonomous robot for studying Jupiter's moon Europa."
120,"The speaker, a medical illustrator, discusses the concepts of truth and beauty in the arts and sciences, emphasizing their importance in understanding the biological sciences. He describes a project at Harvard that uses animation to visually represent the truth and beauty inherent in molecular and cellular biology, aiming to enhance students' understanding of complex concepts. By showcasing the intricate workings of molecular motors within cells, the project seeks to spark students' imaginations and passions for scientific discovery. Ultimately, the speaker highlights the profound impact that understanding cellular mechanics can have on health, longevity, and future advancements in science.",Medical animator David Bolinsky presents 3 minutes of stunning animation that show the bustling life inside a cell.
121,"The speaker discusses the potential of virtual worlds, the Metaverse, and the 3-D web to transform the internet into a highly immersive and interactive space. Initiatives like Virtual Earth aim to create a digital representation of the entire world by leveraging various data sources and community input. Through advanced technology and algorithms, including automated processes for building 3-D models of cities, the goal is to provide users with a familiar and user-friendly computing experience. The speaker concludes by showcasing a new feature that combines high-resolution imagery with 3-D models to enhance user exploration and interaction within the virtual world.","Microsoft's Stephen Lawler gives a whirlwind tour of Virtual Earth, moving up, down and through its hyper-real cityscapes with dazzlingly fluidity, a remarkable feat that requires staggering amounts of data to bring into focus."
122,"The speaker shares his journey from waiting for a call from TED for years to finally getting the opportunity to speak. He emphasizes his vision for a future of peace, prosperity, and sustainability, urging everyone to close the opportunity and hope gaps by supporting good people doing good things. He discusses his transition from Silicon Valley to Hollywood, founding Participant Productions to create films focused on social change, highlighting successful projects like ""An Inconvenient Truth"" and ""North Country."" Finally, he expresses hope that collective efforts can lead to significant positive changes in the world.","Film producer Jeff Skoll (An Inconvenient Truth) talks about his film company, Participant Productions, and the people who've inspired him to do good."
123,"Theo Jansen has been working on creating new forms of life for 16 years using electricity tubes, aiming for them to live on beaches and survive independently in the future by harnessing wind energy. These mechanical beasts, called Animaris, walk sideways on wet sand with noses pointed into the wind, evolving through genetic codes to store wind energy in lemonade bottles to navigate the beach safely. The design, based on ""The 11 Holy Numbers,"" functions similarly to a wheel but is more efficient on sandy terrain, with adaptations like water feelers and storm-resistant noses to help the creatures survive. Jansen's goal is for them to eventually thrive autonomously, needing less assistance over time.",Artist Theo Jansen demonstrates the amazingly lifelike kinetic sculptures he builds from plastic tubes and lemonade bottles. His creatures are designed to move -- and even survive -- on their own.
124,"The speaker expresses skepticism towards the effectiveness of aid in Africa, highlighting the negative impact of media portrayal and the dependency on external assistance. He argues that the focus should shift from poverty reduction to wealth creation through supporting entrepreneurship and private investment. Using Uganda as an example, he criticizes how foreign aid has perpetuated inefficiencies and corruption within the government, leading to misallocation of resources and hindering economic development. Ultimately, he calls for a reevaluation of aid strategies and a shift towards building internal capacity and productive institutions in Africa.","In this provocative talk, journalist Andrew Mwenda asks us to reframe the ""African question"" -- to look beyond the media's stories of poverty, civil war and helplessness and see the opportunities for creating wealth and happiness throughout the continent."
125,"The transcript discusses Maurice Druon, the French Academy, and the role of language. Language is viewed as a product of human interaction rather than legislation, as demonstrated by the constant evolution of language through slang, jargon, and dialects. The speaker also delves into the intricacies of verbs and their role in constructing sentences, highlighting how language reflects human cognition and social relationships. Additionally, the discussion explores indirect speech acts and how language is used to negotiate and maintain various types of relationships. Ultimately, language serves as a mirror reflecting human nature, cognitive processes, and social interactions.","In an exclusive preview of his book <i>The Stuff of Thought</i>, Steven Pinker looks at language and how it expresses what goes on in our minds -- and how the words we choose communicate much more than we realize."
126,"The speaker is a storyteller who focuses on creating tools for people worldwide to share their stories. They believe that despite various gaps like language, ethnicity, and wealth, people share a common need for self-expression. They discuss projects like ""We Feel Fine,"" which collects and visualizes human emotions from blog entries, and ""Universe,"" an interactive platform showing the modern world's mythology through news events and personal stories. These projects aim to explore human expression and connectivity on a global scale.","Jonathan Harris wants to make sense of the emotional world of the Web. With deep compassion for the human condition, his projects troll the Internet to find out what we're all feeling and looking for."
127,"The speaker discusses the practice of lexicography, emphasizing the evolving nature of dictionaries and the challenges faced by lexicographers. They highlight the limitations of traditional dictionaries, advocate for a more inclusive and collaborative approach to collecting words, and envision a future where dictionaries encompass all words and meanings without arbitrary distinctions. Ultimately, they propose a shift towards a more descriptive and comprehensive approach to lexicography, freeing lexicographers from the role of gatekeepers and allowing for a more expansive exploration of language.","Is the beloved paper dictionary doomed to extinction? In this infectiously exuberant talk, leading lexicographer Erin McKean looks at the many ways today's print dictionary is poised for transformation."
128,"The speaker reflects on the urgency of addressing the climate crisis after his daughter's impactful remarks, highlighting the importance of companies like Wal-Mart and individual actions in reducing energy consumption. He emphasizes the significance of policy changes, citing California's legislation and Brazil's ethanol initiatives as examples. The potential for radical innovation, such as synthetic biology for medical and energy breakthroughs, is also discussed as a crucial component in addressing the climate crisis. The speaker urges individuals to take action, make environmentally conscious choices, lobby for policy changes, and influence businesses to prioritize sustainability.","""I don't think we're going to make it,"" John Doerr says in an emotional talk about climate change and investment. To create a world fit for his daughter to live in, he says, we need to invest now in clean, green energy."
129,"The speaker addresses an audience for the first time, sharing stories of a changing Africa with a focus on highlighting the continent's opportunities and efforts to combat corruption and improve governance. Using Nigeria as a case study, the speaker discusses successful reforms in privatization, financial management, and economic diversification that have led to measurable economic growth and stability. Emphasizing the importance of job creation and investment, particularly in empowering women entrepreneurs, the speaker encourages the audience to explore opportunities in Africa for mutual benefit.","We know the negative images of Africa -- famine and disease, conflict and corruption. But, says Ngozi Okonjo-Iweala, there's another, less-told story happening in many African nations: one of reform, economic growth and business opportunity."
130,"The speaker discusses AIDS in sub-Saharan Africa, emphasizing the importance of understanding the epidemic beyond common knowledge. They challenge the effectiveness of behavior change campaigns by examining how people respond to the disease, highlighting the economic aspect of health decisions as an investment in longevity. Using mortality data, they question the accuracy of HIV prevalence estimates provided by organizations like UNAIDS, and suggest a link between economic activity, such as exports, and HIV infections. The speaker also questions the actual impact of education campaigns in reducing prevalence, suggesting other interventions may be more effective and urging a reevaluation of current approaches to combating the epidemic.",Emily Oster re-examines the stats on AIDS in Africa from an economic perspective and reaches a stunning conclusion: Everything we know about the spread of HIV on the continent is wrong.
131,"Jacqueline Novogratz shares her journey working in Africa, starting with her humbling experiences in Ivory Coast and Rwanda, where she learned to listen and respect the local communities. She emphasizes the importance of dignity over wealth and the limitations of traditional charity and market solutions in addressing poverty. Through her organization, Acumen Fund, Novogratz invests in social enterprises like Advanced Bio-Extracts Limited and A to Z manufacturing, demonstrating the impact of combining investment and philanthropy to create sustainable solutions for poverty alleviation. She urges for a shift towards market-driven approaches that prioritize dignity, choice, and listening to effectively empower individuals and communities in need.","Jacqueline Novogratz shares stories of how ""patient capital"" can bring sustainable jobs, goods, services -- and dignity -- to the world's poorest."
132,"William Kamkwamba, a young innovator from Malawi, built a windmill at the age of 14 using a design from a book, modifying it to have four blades instead of three. The windmill generated 12 watts of electricity, powering four bulbs and two radios in his home. Inspired by his success, William aims to build a larger windmill for irrigation to benefit his entire village and is seeking support to make this dream a reality.","When he was just 14 years old, Malawian inventor William Kamkwamba built his family an electricity-generating windmill from spare parts, working from rough plans he found in a library book."
133,"A senior official from the Department of Defense visited a year ago to address the issue of children returning with missing limbs. Tasked with creating a prosthetic that could perform intricate tasks, a team was assembled to develop a device with advanced capabilities. The prosthetic, with 14 degrees of freedom, was demonstrated at Walter Reed Medical Center, showcasing its ability to perform tasks like picking up objects and writing. The technology aims to provide a better quality of life for amputees, especially those with bilateral limb loss.",Inventor Dean Kamen previews the prosthetic arm he's developing at the request of the US Department of Defense. His quiet commitment to using technology to solve problems -- while honoring the human spirit -- has never been more clear.
134,"The speaker believes current computer interfaces are limited and aims to change that by introducing BumpTop, a new approach to desktop computing inspired by real-life environments like a desk. BumpTop allows for physical manipulation of digital items, such as piling, flipping, and sorting, creating a more interactive and visually engaging experience. By incorporating elements like physics simulations, creasing icons like paper, and pinning items to a virtual wall, BumpTop aims to enhance organization and user interaction beyond traditional point-and-click interfaces.","Anand Agarawala presents BumpTop, a user interface that takes the usual desktop metaphor to a glorious, 3-D extreme, transforming file navigation into a freewheeling playground of crumpled documents and clipping-covered ""walls."""
135,"The speaker discusses the transformation of fear into hope by exploring regenerative medicine as a way to treat debilitating diseases like diabetes, cancer, and heart failure. He emphasizes the importance of early diagnosis and treatment to prevent the onset of severe conditions, showcasing examples of using cellular therapies, materials, and devices to promote healing and regeneration in the body. The presentation highlights ongoing research and clinical advancements in regenerative medicine, stressing the interdisciplinary nature of this field and the need for strategic investments to accelerate progress in healthcare.","Alan Russell studies regenerative medicine -- a breakthrough way of thinking about disease and injury, using a process that can signal the body to rebuild itself."
136,"The speaker discusses his interest in creating toys that encourage discovery and learning through play, inspired by his time at a Montessori school and the work of Maria Montessori. He showcases a game he has been working on called ""Spore,"" which allows players to evolve creatures from single cells to intelligent beings and eventually explore space. The game aims to foster creativity, empathy, and long-term thinking by allowing players to experiment with various scenarios and outcomes, such as climate change and planetary evolution. Through these interactive experiences, the speaker believes that toys like ""Spore"" can help people better understand and calibrate their instincts across vast scales of space and time, ultimately contributing to more thoughtful and forward-thinking decision-making.","In a friendly, high-speed presentation, Will Wright demos his newest game, Spore, which promises to dazzle users even more than his previous masterpieces."
137,"The speaker discusses the prevalence of the time 4 a.m. in various forms of media and suggests a hidden message or code associated with it, starting with a sculpture by Alberto Giacometti titled ""The Palace at Four in the Morning."" They connect different references to 4 a.m., such as Faron Young's song and Wislawa Szymborska's poem, to notable events and individuals born in 1932. The speaker delves into references to 4 a.m. in pop culture, literature, and politics, hinting at a deeper significance behind this specific time of day. Through a series of interconnected events and references, they suggest a mysterious and deliberate pattern associated with 4 a.m. that transcends artistic and","Poet Rives does 8 minutes of lyrical origami, folding history into a series of coincidences surrounding that most surreal of hours, 4 o'clock in the morning."
138,"The speaker differentiates his work from traditional Pentagon strategic planners by focusing on the future of wars in the context of everything else, specializing in the transition space between war and peace. He critiques Pentagon terminology and strategies, advocating for a new national grand strategy for the United States that emphasizes proportional force, non-lethal technologies, and staying power. He calls for the creation of a System Administrator Force to handle post-war peace-building efforts, emphasizing the need for inter-agency cooperation, international partnerships, and a shift in military mindset towards a Department of ""Everything Else"" alongside the Department of War.","In this bracingly honest talk, international security strategist Thomas Barnett outlines a post-Cold War solution for the foundering U.S. military that is both sensible and breathtaking in its simplicity: Break it in two."
139,"Allison Hunt shares her experience of navigating the Canadian healthcare system to get a hip replacement surgery, highlighting the long waiting times and her decision to proactively move to the front of the line by volunteering at a hospital gift shop. Through her volunteering, she was able to expedite her surgery and receive a prescription for pain medication. Despite bending the rules, she finds pride in benefiting society through her actions.",When Allison Hunt found out that she needed a new hip -- and that Canada’s national health care system would require her to spend nearly 2 years on a waiting list (and in pain) -- she took matters into her own hands.
140,"The speaker emphasizes the critical role of leadership in transforming Africa, highlighting the need for enlightened and ethical leaders. He shares personal experiences that underscore the impact of effective leadership, emphasizing the importance of training leaders to confront complex problems and make ethical decisions. Through initiatives like Ashesi University, he aims to cultivate a new generation of ethical, entrepreneurial leaders capable of driving positive change on the continent, stressing that the future of Africa depends on well-trained and visionary leaders.","A liberal arts education is critical to forming true leaders, says university head Patrick Awuah -- because it builds decision-making skills, an ethical framework and a broad vision. Awuah himself left a career at Microsoft in the US to found a liberal arts school in Africa: Ashesi University, in his home nation of Ghana. A passionate talk about dreaming, doing and leading."
141,"The speaker reflects on the legacies left by individuals after death, citing examples like Art Buchwald's humor video and her father's handwritten letters. She emphasizes the value of personal touches like handwritten letters in an increasingly digital world, advocating for a return to letter writing alongside emails. She plans to compile her and her father's thoughts into a book to leave for her son, highlighting the emotional connection and legacy such items can provide. The speaker concludes with a heartfelt verse she wrote at her father's cremation, expressing the ongoing impact of his guidance and love.","Lakshmi Pratury remembers the lost art of letter-writing and shares a series of notes her father wrote to her before he died. Her short but heartfelt talk may inspire you to set pen to paper, too."
142,"Frank Gehry reflects on his early interest in science and his unconventional approach to architecture, emphasizing the importance of maintaining creative integrity and avoiding selling out. He discusses his projects, including Bilbao and Disney Hall, highlighting the balance between personal expression and fitting into the city context. Gehry also shares humorous anecdotes about his experiences with clients and the challenges of balancing artistic vision with practical considerations in architecture.","In a wildly entertaining discussion with Richard Saul Wurman, architect Frank Gehry gives TEDsters his take on the power of failure, his recent buildings, and the all-important ""Then what?"" factor."
143,"Bioenergy is discussed as a transition from a brute force approach to a biological force approach in agriculture, with a focus on understanding and managing it for future sustainability. The talk highlights the potential of applying biological principles to energy production, such as farming oil and utilizing biological processes in coalmines. The speaker emphasizes the importance of shifting towards a more stable oil price to encourage innovation and development in alternative energy sources. The ultimate goal is to bridge the gap to cleaner energy solutions while addressing the challenges and opportunities presented by current hydrocarbon reliance.","Juan Enriquez challenges our definition of bioenergy. Oil, coal, gas and other hydrocarbons are not chemical but biological products, based on plant matter -- and thus, growable. Our whole approach to fuel, he argues, needs to change."
144,"J.J. Abrams shares his fascination with mystery and the importance of imagination and potential by reflecting on his grandfather's influence on his creativity. He discusses how mystery drives storytelling, citing examples from his work on ""Lost"" and other films. Abrams emphasizes the democratization of media creation through technology, encouraging aspiring filmmakers to seize the opportunities available today. He concludes by demonstrating a simple yet effective visual effect from ""Mission: Impossible III,"" highlighting the power of creativity over advanced technology.","J.J. Abrams traces his love for the unseen mystery –- a passion that's evident in his films and TV shows, including Lost, Star Trek and the upcoming Star Wars VII -- back to its magical beginnings."
145,"The speaker, a former molecular biologist turned meditator from the Himalayas, discusses the pursuit of happiness through inner well-being and mind training. He emphasizes the importance of cultivating positive mental states like compassion and altruism, highlighting the transformative power of meditation on brain plasticity and emotional responses. Through personal experiences and scientific studies, he underscores the profound impact of mind training on one's overall quality of life and the importance of prioritizing mental well-being.","What is happiness, and how can we all get some? Biochemist turned Buddhist monk Matthieu Ricard says we can train our minds in habits of well-being, to generate a true sense of serenity and fulfillment."
146,The transcript consists of sounds of applause and music.,Kenichi Ebina moves his body in a manner that appears to defy the limits imposed by the human skeleton. He combines breakdancing and hip-hop with mime using movements that are simultaneously precise and fluid.
147,"Bill Strickland shares his journey from a high school kid in Pittsburgh to a successful entrepreneur who built facilities like Bidwell Training Center and Manchester Craftsmen's Guild in tough neighborhoods. Through arts education, vocational training, and a gourmet lunch program, he has empowered welfare mothers, ex-steel workers, and at-risk youth to succeed. Strickland's collaboration with artists like Dizzy Gillespie, Herbie Hancock, and Quincy Jones has led to Grammy-winning recordings and inspired the creation of similar centers in San Francisco and Los Angeles. His vision is to replicate these centers nationwide, believing in the transformational power of art, education, and hope for marginalized communities.","Bill Strickland tells a quiet and astonishing tale of redemption through arts, music, and unlikely partnerships."
148,"Despite the long-awaited promise of robots taking over various tasks, the speaker suggests a different approach by looking at how robots can evolve and learn on their own through simulations and physical interactions. By using natural selection and mutation in a primordial soup of robot parts, robots were able to evolve and learn how to move forward autonomously. Another experiment involved cubes that self-replicated without any external rewards, leading to potential insights on how to build more advanced robots by allowing them to evolve and learn like children. This innovative approach emphasizes the importance of moving away from manual design towards letting robots evolve and learn independently.","Hod Lipson demonstrates a few of his cool little robots, which have the ability to learn, understand themselves and even self-replicate."
149,"The speaker discusses the concept of words having power, comparing it to casting spells using computer programs and DNA. By encoding information as molecules, it's possible to create molecular programs that can manipulate DNA and proteins. Using DNA origami, long DNA strands can be folded into specific shapes by synthesizing shorter DNA sequences. The ultimate goal is to program self-assembly to create technological and biological artifacts, achieving a level of complexity that can be considered magical.","Paul Rothemund writes code that causes DNA to arrange itself into a star, a smiley face and more. Sure, it's a stunt, but it's also a demonstration of self-assembly at the smallest of scales -- with vast implications for the future of making things."
150,"The speaker specializes in human behavioral research and focuses on designing for the future by understanding how people behave. Through research on what people carry, it was found that keys, money, and mobile phones are considered essential items globally due to their value in supporting survival needs. The importance of delegation, especially in utilizing technology for communication and financial transactions, was highlighted as a key aspect of adapting to changing technological landscapes. The speaker emphasized the need to embrace the interconnected world where everyone can transcend space and time, stressing the significance of inclusivity, rapid adoption of technology, innovation from the streets, and the necessity of listening to the voices of the newly connected population.",Nokia researcher Jan Chipchase's investigation into the ways we interact with technology has led him from the villages of Uganda to the insides of our pockets. He's made some unexpected discoveries along the way.
151,"Gever Tulley, a computer scientist and founder of Tinkering School, advocates for allowing children to engage in risky activities in order to foster creativity, confidence, and independence. He introduces ""Five Dangerous Things You Should Let Your Children Do,"" including playing with fire, owning a pocketknife, throwing a spear, deconstructing appliances, and breaking the Digital Millennium Copyright Act. Tulley emphasizes the importance of providing children with opportunities to explore and interact with their environment, even if it means getting bruised or breaking a few rules. By embracing these challenges, kids can develop valuable skills and a deeper understanding of the world around them.","At TED U, Gever Tulley, founder of the Tinkering School, spells out 5 dangerous things you should let your kids do -- and why a little danger is good for both kids and grownups."
152,"The speaker describes the mesmerizing world of bioluminescent deep-sea creatures captured by Dr. Edith Widder's camera, showcasing their strategies for survival and their stunning visual displays. Transitioning to shallow waters, the focus shifts to cephalopods like octopuses, squids, and cuttlefish, highlighting their remarkable abilities to camouflage and adapt to their environments through color and texture changes. The presentation emphasizes the vast unknowns of the ocean, with a call to further explore its mysteries and diversity.","David Gallo shows jaw-dropping footage of amazing sea creatures, including a color-shifting cuttlefish, a perfectly camouflaged octopus, and a Times Square's worth of neon light displays from fish who live in the blackest depths of the ocean. This short talk celebrates the pioneering work of ocean explorers like Edith Widder and Roger Hanlon."
153,"The speaker reflects on simplicity, striving to live and die with simplicity in mind. They share experiences of daydreaming through life, transitioning to a career in illustration, collaborating on projects like creating humorous watches, and working on meaningful New Yorker covers. The speaker discusses their creative process for writing children's books, illustrating ""The Elements of Style,"" and engaging in various artistic endeavors while sharing personal anecdotes and musings on life and mortality. Through storytelling and humor, they explore themes of uncertainty, memory, family history, and the human experience.","Author and illustrator Maira Kalman talks about her life and work, from her covers for The New Yorker to her books for children and grown-ups. She is as wonderful, as wise and as deliciously off-kilter in person as she is on paper."
154,"The speaker discusses the urgency of addressing climate change, emphasizing that despite knowing about the issue for decades and engaging in discussions and treaties, little progress has been made in reducing emissions. They highlight the accelerating rate of CO2 emissions and the rapid decline of Arctic Sea ice, indicating the severity of the situation. The speaker introduces the concept of geo-engineering as a potential solution, specifically focusing on the idea of using particles in the atmosphere to cool the planet, while acknowledging the risks and moral implications associated with such interventions. They emphasize the importance of conducting serious research on geo-engineering, addressing moral hazards, and potentially establishing international treaties to navigate this complex issue.","Environmental scientist David Keith proposes a cheap, effective, shocking means to address climate change: What if we injected a huge cloud of ash into the atmosphere to deflect sunlight and heat?"
